Gene_ID,LFC,FDR,Gene_Name,Description
B9J08_001458,8.611549656,4.78e-29,SCF1,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_05295
B9J08_004451,6.809597233,7.97e-37,,Protein of unknown function
B9J08_000592,5.991984446,5.93e-25,,"Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_001515,5.163949028,5.69e-28,,"Has domain(s) with predicted heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors and with incorporation or reduction of molecular oxygen, more"
B9J08_004112,5.069252626,3.81e-24,ALS4112,Putative cell-surface adhesin; increases in expression in response to caspofungin; associated with autoaggregation that may contribute to stress adaption
B9J08_004100,4.965966819,2.5e-19,,Protein of unknown function
B9J08_005072,4.733923989,1.92e-16,,"Ortholog of C. albicans SC5314 : C2_08260W_A, C. dubliniensis CD36 : Cd36_22390, C. parapsilosis CDC317 : CPAR2_805760 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_104120"
B9J08_001581,4.336657823,1.31e-17,,"Has domain(s) with predicted ATP binding, ATPase, nucleotide binding, transporter activity and membrane localization"
B9J08_003891,4.000801888,2.38e-05,,Protein of unknown function
B9J08_001899,3.890896381,7.92e-10,,"Has domain(s) with predicted ABC-type transporter activity, ATP binding, ATPase activity, role in transmembrane transport and membrane localization"
B9J08_001155,3.88616764,6.51e-12,,Protein of unknown function
B9J08_004109,3.624762839,1.86e-10,,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_05599
B9J08_004446,3.552788117,1.34e-10,,"Has domain(s) with predicted ATP binding, ATPase activity"
B9J08_002630,3.374752104,1e-07,,"Ortholog(s) have ammonium transmembrane transporter activity and role in ammonium transmembrane transport, nitrogen utilization"
B9J08_004545,3.32557288,6.49e-05,,Has domain(s) with predicted oligopeptide transmembrane transporter activity and role in transmembrane transport
B9J08_004602,3.251021232,3.15e-10,,"Ortholog(s) have oligopeptide transmembrane transporter activity, proton-dependent oligopeptide secondary active transmembrane transporter activity, tetrapeptide transmembrane transporter activity"
B9J08_003657,3.082734328,2.16e-08,,"Ortholog(s) have high-affinity zinc transmembrane transporter activity, low-affinity zinc ion transmembrane transporter activity, role in zinc ion import across plasma membrane and plasma membrane localization"
B9J08_002333,3.062818239,3.82e-06,,Protein of unknown function
B9J08_004098,3.041084229,4.62e-08,,Protein of unknown function
B9J08_002660,3.040690684,1.63e-10,,"Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and membrane localization"
B9J08_004544,2.978247066,8.34e-08,,Has domain(s) with predicted oligopeptide transmembrane transporter activity and role in transmembrane transport
B9J08_004204,2.973014424,1e-07,,"Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and membrane localization"
B9J08_004066,2.854418732,5.92e-09,,"Ortholog(s) have glutathione transmembrane transporter activity, role in glutathione import across plasma membrane, glutathione transmembrane transport and plasma membrane, plasma membrane of cell tip localization"
B9J08_000117,2.758624087,0.008373635,,"Ortholog of C. albicans SC5314 : C4_04080C_A/PGA31, C. dubliniensis CD36 : Cd36_43780, Candida tenuis NRRL Y-1498 : CANTEDRAFT_115824 and Pichia stipitis Pignal : PICST_43383"
B9J08_004161,2.570438646,0.006220313,ERG5,"Has domain(s) with predicted heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors and with incorporation or reduction of molecular oxygen, more"
B9J08_001362,2.522523949,2.13e-08,,"Ortholog(s) have L-leucine transmembrane transporter activity, amino acid transmembrane transporter activity and role in amino acid transport, leucine import across plasma membrane, transmembrane transport"
B9J08_001660,2.513548103,1.58e-06,,"Has domain(s) with predicted copper ion binding, primary amine oxidase activity, quinone binding activity and role in amine metabolic process"
B9J08_002256,2.496233047,3.7e-06,,Protein of unknown function
B9J08_000005,2.457678612,0.000207787,,Protein of unknown function
B9J08_004842,2.413905046,0.007684357,,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_02350
B9J08_000008,2.304913816,0.000515597,,Has domain(s) with predicted oxidoreductase activity
