v2_gene,v3_gene,v2_length,v3_length,identity,exact_match
B9J08_001458,B9J08_03708,765.0,765.0,100.0,True
B9J08_003002,B9J08_00860,398.0,398.0,100.0,True
B9J08_004787,B9J08_04747,396.0,396.0,100.0,True
B9J08_002141,B9J08_03214,306.0,306.0,100.0,True
B9J08_004243,B9J08_04997,509.0,509.0,100.0,True
B9J08_003306,B9J08_01167,,,,False
B9J08_002451,B9J08_05461,1469.0,1469.0,100.0,True
B9J08_004544,B9J08_04503,,,,False
B9J08_001015,B9J08_02973,541.0,541.0,100.0,True
B9J08_002660,B9J08_00520,639.0,639.0,100.0,True
B9J08_002136,B9J08_03209,353.0,353.0,100.0,True
B9J08_001899,B9J08_00369,1604.0,1604.0,100.0,True
B9J08_000656,B9J08_02614,340.0,340.0,100.0,True
B9J08_004446,B9J08_05200,664.0,664.0,100.0,True
B9J08_003109,B9J08_00967,453.0,453.0,100.0,True
B9J08_002593,B9J08_00453,348.0,348.0,100.0,True
B9J08_002582,B9J08_05592,861.0,861.0,100.0,True
B9J08_003223,B9J08_01084,340.0,340.0,100.0,True
B9J08_004451,B9J08_05205,717.0,717.0,100.0,True
B9J08_001549,B9J08_00020,152.0,152.0,100.0,True
B9J08_000592,B9J08_02550,442.0,442.0,100.0,True
B9J08_002480,B9J08_05490,544.0,544.0,100.0,True
B9J08_001515,B9J08_03765,531.0,531.0,100.0,True
B9J08_004112,B9J08_04866,1795.0,1795.0,100.0,True
B9J08_004100,B9J08_01957,760.0,760.0,100.0,True
B9J08_005072,B9J08_03955,93.0,93.0,100.0,True
B9J08_003891,B9J08_01749,124.0,124.0,100.0,True
B9J08_001546,B9J08_00017,392.0,392.0,100.0,True
B9J08_004109,B9J08_04863,2946.0,2946.0,100.0,True
B9J08_001548,B9J08_00019,136.0,136.0,100.0,True
B9J08_000846,B9J08_02804,93.0,93.0,100.0,True
